x,density
-5.299601103272514990e+00,6.257308530849796250e-05
-5.287631487687280973e+00,7.446252182111726082e-05
-5.275661872102046068e+00,8.820152385299920544e-05
-5.263692256516812051e+00,1.039927938218704773e-04
-5.251722640931577146e+00,1.220449564326026037e-04
-5.239753025346342241e+00,1.425694505955752529e-04
-5.227783409761108224e+00,1.657768066886187834e-04
-5.215813794175873319e+00,1.918723141488986759e-04
-5.203844178590639302e+00,2.210511063606226696e-04
-5.191874563005404397e+00,2.534927143769583231e-04
-5.179904947420170380e+00,2.893551675142809671e-04
-5.167935331834935475e+00,3.287687464169003547e-04
-5.155965716249701458e+00,3.718295217562094250e-04
-5.143996100664466553e+00,4.185928380881841584e-04
-5.132026485079232536e+00,4.690669262174438584e-04
-5.120056869493997631e+00,5.232068473145662932e-04
-5.108087253908763614e+00,5.809089866177682667e-04
-5.096117638323528709e+00,6.420063225122061559e-04
-5.084148022738293804e+00,7.062646969676208367e-04
-5.072178407153059787e+00,7.733803048151453993e-04
-5.060208791567824882e+00,8.429786015560328293e-04
-5.048239175982590865e+00,9.146148020999770494e-04
-5.036269560397355960e+00,9.877761062415913677e-04
-5.024299944812121943e+00,1.061885741477345711e-03
-5.012330329226887038e+00,1.136308861095319768e-03
-5.000360713641653021e+00,1.210360276943906561e-03
-4.988391098056418116e+00,1.283313943927036046e-03
-4.976421482471184099e+00,1.354414049444198050e-03
-4.964451866885949194e+00,1.422887498303407501e-03
-4.952482251300715177e+00,1.487957524818633902e-03
-4.940512635715480272e+00,1.548858111592040909e-03
-4.928543020130245367e+00,1.604848851458547413e-03
-4.916573404545011350e+00,1.655229857534380343e-03
-4.904603788959776445e+00,1.699356308137947190e-03
-4.892634173374542428e+00,1.736652209882049011e-03
-4.880664557789307523e+00,1.766622974183825433e-03
-4.868694942204073506e+00,1.788866429826658491e-03
-4.856725326618838601e+00,1.803081936348752004e-03
-4.844755711033604584e+00,1.809077318537155284e-03
-4.832786095448369679e+00,1.806773409139366500e-03
-4.820816479863134774e+00,1.796206062474162623e-03
-4.808846864277900757e+00,1.777525582899654828e-03
-4.796877248692666740e+00,1.750993595759806672e-03
-4.784907633107431835e+00,1.716977471033796776e-03
-4.772938017522196930e+00,1.675942488052023852e-03
-4.760968401936962913e+00,1.628442000126505270e-03
-4.748998786351728008e+00,1.575105917947655860e-03
-4.737029170766493991e+00,1.516627877802086870e-03
-4.725059555181259086e+00,1.453751493352985506e-03
-4.713089939596025069e+00,1.387256106862855276e-03
-4.701120324010790164e+00,1.317942457007554961e-03
-4.689150708425556147e+00,1.246618666221981780e-03
-4.677181092840321242e+00,1.174086921890535882e-03
-4.665211477255086336e+00,1.101131184304973611e-03
-4.653241861669852319e+00,1.028506202305600652e-03
-4.641272246084618303e+00,9.569280574196312346e-04
-4.629302630499383397e+00,8.870663918686651694e-04
-4.617333014914148492e+00,8.195384078906735748e-04
-4.605363399328914475e+00,7.549046582285445133e-04
-4.593393783743679570e+00,6.936665830337197282e-04
-4.581424168158445553e+00,6.362656892071919760e-04
-4.569454552573210648e+00,5.830842163835099493e-04
-4.557484936987976631e+00,5.344470909706127305e-04
-4.545515321402741726e+00,4.906249370473515477e-04
-4.533545705817507709e+00,4.518378911807681420e-04
-4.521576090232272804e+00,4.182599575844060647e-04
-4.509606474647037899e+00,3.900236402940144534e-04
-4.497636859061803882e+00,3.672245995937590624e-04
-4.485667243476569865e+00,3.499260998575548661e-04
-4.473697627891334960e+00,3.381630440743818881e-04
-4.461728012306100055e+00,3.319454251929057804e-04
-4.449758396720866038e+00,3.312610644926976527e-04
-4.437788781135631133e+00,3.360775508240368284e-04
-4.425819165550397116e+00,3.463433400823039392e-04
-4.413849549965162211e+00,3.619880200404165826e-04
-4.401879934379928194e+00,3.829217900575485598e-04
-4.389910318794693289e+00,4.090342467139033902e-04
-4.377940703209459272e+00,4.401926037142176720e-04
-4.365971087624224367e+00,4.762395062330036961e-04
-4.354001472038989462e+00,5.169906251903249065e-04
-4.342031856453755445e+00,5.622322348889152504e-04
-4.330062240868521428e+00,6.117189873601550348e-04
-4.318092625283286523e+00,6.651720982309746854e-04
-4.306123009698051618e+00,7.222781517461123379e-04
-4.294153394112817601e+00,7.826887168178353659e-04
-4.282183778527582696e+00,8.460209419417196721e-04
-4.270214162942348679e+00,9.118592650840088871e-04
-4.258244547357113774e+00,9.797583360425261151e-04
-4.246274931771879757e+00,1.049247204384656665e-03
-4.234305316186644852e+00,1.119834777182459988e-03
-4.222335700601410835e+00,1.191016498910994368e-03
-4.210366085016175930e+00,1.262282152744064346e-03
-4.198396469430941025e+00,1.333124629894591982e-03
-4.186426853845707008e+00,1.403049463514432745e-03
-4.174457238260472991e+00,1.471584877925929827e-03
-4.162487622675238086e+00,1.538292064506508556e-03
-4.150518007090003181e+00,1.602775364188764725e-03
-4.138548391504769164e+00,1.664692014903042510e-03
-4.126578775919534259e+00,1.723761111771110899e-03
-4.114609160334300242e+00,1.779771429549617534e-03
-4.102639544749065337e+00,1.832587771448780829e-03
-4.090669929163831320e+00,1.882155536326949154e-03
-4.078700313578596415e+00,1.928503237241507287e-03
-4.066730697993362398e+00,1.971742757787904761e-03
-4.054761082408127493e+00,2.012067197449749888e-03
-4.042791466822892588e+00,2.049746231682921405e-03
-4.030821851237658571e+00,2.085118994559851530e-03
-4.018852235652424554e+00,2.118584578966901510e-03
-4.006882620067189649e+00,2.150590338668086163e-03
-3.994913004481954744e+00,2.181618264824089926e-03
-3.982943388896720727e+00,2.212169793403460927e-03
-3.970973773311485822e+00,2.242749475893240224e-03
-3.959004157726251805e+00,2.273848010426558243e-03
-3.947034542141016900e+00,2.305925180721537029e-03
-3.935064926555782883e+00,2.339393283251148172e-03
-3.923095310970547978e+00,2.374601636519901079e-03
-3.911125695385313517e+00,2.411822758526064540e-03
-3.899156079800079056e+00,2.451240768506316673e-03
-3.887186464214844595e+00,2.492942516806764212e-03
-3.875216848629610134e+00,2.536911873022339951e-03
-3.863247233044375673e+00,2.583027509150888010e-03
-3.851277617459141211e+00,2.631064404091068998e-03
-3.839308001873906750e+00,2.680699171902892891e-03
-3.827338386288672289e+00,2.731519183125334302e-03
-3.815368770703437828e+00,2.783035310987829782e-03
-3.803399155118202923e+00,2.834697997857676000e-03
-3.791429539532968462e+00,2.885916207226578867e-03
-3.779459923947734001e+00,2.936078708407489739e-03
-3.767490308362499540e+00,2.984577040045237935e-03
-3.755520692777265079e+00,3.030829419158193906e-03
-3.743551077192030618e+00,3.074304808566613763e-03
-3.731581461606796157e+00,3.114546330091690681e-03
-3.719611846021561696e+00,3.151193215551134283e-03
-3.707642230436327235e+00,3.184000522800549144e-03
-3.695672614851092774e+00,3.212855909033359141e-03
-3.683702999265858313e+00,3.237792846112727812e-03
-3.671733383680623852e+00,3.258999779494983155e-03
-3.659763768095389391e+00,3.276824868850779313e-03
-3.647794152510154486e+00,3.291776099429452682e-03
-3.635824536924920025e+00,3.304516712512226700e-03
-3.623854921339685564e+00,3.315856064536634555e-03
-3.611885305754451103e+00,3.326736181127160422e-03
-3.599915690169216642e+00,3.338214418016058338e-03
-3.587946074583982181e+00,3.351442769856947772e-03
-3.575976458998747720e+00,3.367644475153101259e-03
-3.564006843413513259e+00,3.388088646858607080e-03
-3.552037227828278798e+00,3.414063710744267861e-03
-3.540067612243044337e+00,3.446850455716408620e-03
-3.528097996657809876e+00,3.487695491644919512e-03
-3.516128381072575415e+00,3.537785871943785292e-03
-3.504158765487340954e+00,3.598225572469793392e-03
-3.492189149902106049e+00,3.670014428723153855e-03
-3.480219534316871588e+00,3.754030024273912521e-03
-3.468249918731637127e+00,3.851012899975451379e-03
-3.456280303146402666e+00,3.961555321536182513e-03
-3.444310687561168205e+00,4.086093708313666244e-03
-3.432341071975933744e+00,4.224904694644562170e-03
-3.420371456390699283e+00,4.378104672200996104e-03
-3.408401840805464822e+00,4.545652552791451355e-03
-3.396432225220230361e+00,4.727355399956206100e-03
-3.384462609634995900e+00,4.922876507947876110e-03
-3.372492994049761439e+00,5.131745460450985556e-03
-3.360523378464526978e+00,5.353369679720007893e-03
-3.348553762879292517e+00,5.587046979527702899e-03
-3.336584147294057612e+00,5.831978661048582875e-03
-3.324614531708823151e+00,6.087282737071209038e-03
-3.312644916123588690e+00,6.352006933261824910e-03
-3.300675300538354229e+00,6.625141191297361822e-03
-3.288705684953119768e+00,6.905629482657608259e-03
-3.276736069367885307e+00,7.192380828470249822e-03
-3.264766453782650846e+00,7.484279504718627067e-03
-3.252796838197416385e+00,7.780194488234410191e-03
-3.240827222612181924e+00,8.078988262572662019e-03
-3.228857607026947463e+00,8.379525150218718188e-03
-3.216887991441713002e+00,8.680679365693460062e-03
-3.204918375856478541e+00,8.981342991254120250e-03
-3.192948760271243636e+00,9.280434062564209621e-03
-3.180979144686009175e+00,9.576904916802981421e-03
-3.169009529100774714e+00,9.869750902399882300e-03
-3.157039913515540253e+00,1.015801948133478357e-02
-3.145070297930305792e+00,1.044081967622051063e-02
-3.133100682345071331e+00,1.071733173046758580e-02
-3.121131066759836870e+00,1.098681676652618622e-02
-3.109161451174602409e+00,1.124862615048048339e-02
-3.097191835589367948e+00,1.150221020691748544e-02
-3.085222220004133487e+00,1.174712588123621136e-02
-3.073252604418899026e+00,1.198304292173546851e-02
-3.061282988833664565e+00,1.220974815406783431e-02
-3.049313373248430104e+00,1.242714744770168599e-02
-3.037343757663195198e+00,1.263526502806141399e-02
-3.025374142077960737e+00,1.283423986757142171e-02
-3.013404526492726276e+00,1.302431899089843102e-02
-3.001434910907491815e+00,1.320584764983185992e-02
-2.989465295322257354e+00,1.337925645583771563e-02
-2.977495679737022893e+00,1.354504569685786516e-02
-2.965526064151788432e+00,1.370376720237655339e-02
-2.953556448566553971e+00,1.385600424998987418e-02
-2.941586832981319510e+00,1.400235012081694694e-02
-2.929617217396085049e+00,1.414338600387034066e-02
-2.917647601810850588e+00,1.427965901574210043e-02
-2.905677986225616127e+00,1.441166113771767676e-02
-2.893708370640381666e+00,1.453980987522978524e-02
-2.881738755055146761e+00,1.466443141351305574e-02
-2.869769139469912300e+00,1.478574697911813098e-02
-2.857799523884677839e+00,1.490386302181684504e-02
-2.845829908299443378e+00,1.501876570898070737e-02
-2.833860292714208917e+00,1.513032007951272719e-02
-2.821890677128974456e+00,1.523827404253298712e-02
-2.809921061543739995e+00,1.534226723355888895e-02
-2.797951445958505534e+00,1.544184456450607180e-02
-2.785981830373271073e+00,1.553647413013081215e-02
-2.774012214788036612e+00,1.562556896898520745e-02
-2.762042599202802151e+00,1.570851202755901496e-02
-2.750072983617567690e+00,1.578468354739818655e-02
-2.738103368032333229e+00,1.585348999119932933e-02
-2.726133752447098324e+00,1.591439354887766097e-02
-2.714164136861863863e+00,1.596694122113437656e-02
-2.702194521276629402e+00,1.601079246785714824e-02
-2.690224905691394941e+00,1.604574443251533672e-02
-2.678255290106160480e+00,1.607175381128948116e-02
-2.666285674520926019e+00,1.608895452573135681e-02
-2.654316058935691558e+00,1.609767047803746173e-02
-2.642346443350457097e+00,1.609842281532486777e-02
-2.630376827765222636e+00,1.609193129950540341e-02
-2.618407212179988175e+00,1.607910956748367232e-02
-2.606437596594753714e+00,1.606105426669854688e-02
-2.594467981009519253e+00,1.603902825707627031e-02
-2.582498365424284792e+00,1.601443827533358469e-02
-2.570528749839049887e+00,1.598880765402323559e-02
-2.558559134253815426e+00,1.596374486841933490e-02
-2.546589518668580965e+00,1.594090884216368270e-02
-2.534619903083346504e+00,1.592197207088142871e-02
-2.522650287498112043e+00,1.590858271588635811e-02
-2.510680671912877582e+00,1.590232687290339675e-02
-2.498711056327643121e+00,1.590469223012664149e-02
-2.486741440742408660e+00,1.591703429424818836e-02
-2.474771825157174199e+00,1.594054628252561390e-02
-2.462802209571939738e+00,1.597623365563587833e-02
-2.450832593986705277e+00,1.602489410407461484e-02
-2.438862978401470816e+00,1.608710360613298945e-02
-2.426893362816236355e+00,1.616320895558975151e-02
-2.414923747231001450e+00,1.625332692109724211e-02
-2.402954131645766989e+00,1.635734995664703609e-02
-2.390984516060532528e+00,1.647495814377442427e-02
-2.379014900475298067e+00,1.660563682155213883e-02
-2.367045284890063606e+00,1.674869915962501690e-02
-2.355075669304829145e+00,1.690331276116822934e-02
-2.343106053719594684e+00,1.706852925381601924e-02
-2.331136438134360223e+00,1.724331574251907265e-02
-2.319166822549125762e+00,1.742658696199587270e-02
-2.307197206963891301e+00,1.761723697869153893e-02
-2.295227591378656840e+00,1.781416935135822846e-02
-2.283257975793422379e+00,1.801632476172251862e-02
-2.271288360208187473e+00,1.822270526642191454e-02
-2.259318744622953012e+00,1.843239449104915398e-02
-2.247349129037718551e+00,1.864457327810351006e-02
-2.235379513452484090e+00,1.885853050354694554e-02
-2.223409897867249629e+00,1.907366898192116092e-02
-2.211440282282015168e+00,1.928950657831064036e-02
-2.199470666696780707e+00,1.950567282831178542e-02
-2.187501051111546246e+00,1.972190152723725734e-02
-2.175531435526311785e+00,1.993801988119605836e-02
-2.163561819941077324e+00,2.015393491130954354e-02
-2.151592204355842863e+00,2.036961786586363038e-02
-2.139622588770608402e+00,2.058508742320977469e-02
-2.127652973185373941e+00,2.080039246201260614e-02
-2.115683357600139036e+00,2.101559513785937819e-02
-2.103713742014904575e+00,2.123075494044545167e-02
-2.091744126429670114e+00,2.144591431865522022e-02
-2.079774510844435653e+00,2.166108635762340959e-02
-2.067804895259201192e+00,2.187624487830810635e-02
-2.055835279673966731e+00,2.209131721219315461e-02
-2.043865664088732270e+00,2.230617978704278748e-02
-2.031896048503497809e+00,2.252065654911736964e-02
-2.019926432918263348e+00,2.273452014705610105e-02
-2.007956817333028887e+00,2.294749571593588180e-02
-1.995987201747794426e+00,2.315926702901150228e-02
-1.984017586162559965e+00,2.336948473052114297e-02
-1.972047970577325504e+00,2.357777632596515932e-02
-1.960078354992090599e+00,2.378375758587025074e-02
-1.948108739406856138e+00,2.398704501399561567e-02
-1.936139123821621677e+00,2.418726903946192414e-02
-1.924169508236387216e+00,2.438408761228345878e-02
-1.912199892651152755e+00,2.457719991096088408e-02
-1.900230277065918294e+00,2.476635990681541957e-02
-1.888260661480683833e+00,2.495138957034896687e-02
-1.876291045895449372e+00,2.513219154801410102e-02
-1.864321430310214467e+00,2.530876118149628928e-02
-1.852351814724980450e+00,2.548119778434107877e-02
-1.840382199139745545e+00,2.564971513112774756e-02
-1.828412583554511528e+00,2.581465115126863746e-02
-1.816442967969276623e+00,2.597647685195411671e-02
-1.804473352384042606e+00,2.613580452196872378e-02
-1.792503736798807701e+00,2.629339528939298939e-02
-1.780534121213573684e+00,2.645016612094346076e-02
-1.768564505628338779e+00,2.660719635833201993e-02
-1.756594890043104762e+00,2.676573388699806169e-02
-1.744625274457869857e+00,2.692720102442027613e-02
-1.732655658872634952e+00,2.709320019856353498e-02
-1.720686043287400935e+00,2.726551946162743614e-02
-1.708716427702166030e+00,2.744613785012192664e-02
-1.696746812116932013e+00,2.763723055967546791e-02
-1.684777196531697108e+00,2.784117385253372448e-02
-1.672807580946463091e+00,2.806054955852552157e-02
-1.660837965361228186e+00,2.829814896795949941e-02
-1.648868349775994169e+00,2.855697584961315247e-02
-1.636898734190759264e+00,2.884024826138266093e-02
-1.624929118605525247e+00,2.915139875849042869e-02
-1.612959503020290342e+00,2.949407254807009590e-02
-1.600989887435056325e+00,2.987212309346902114e-02
-1.589020271849821420e+00,3.028960464091659185e-02
