x,y,y_pred
-1.742994500000000002e+00,9.223036000000000012e-01,1.113352552640898496e+00
-1.732954600000000012e+00,1.191780300000000015e+00,1.109958926301608306e+00
-1.731819400000000009e+00,8.252500000000000391e-01,1.109575212856219295e+00
-1.731679299999999921e+00,2.592166399999999982e+00,1.109527857100670589e+00
-1.728141300000000102e+00,6.925141999999999687e-01,1.108331963716432833e+00
-1.727584599999999915e+00,7.065135000000000165e-01,1.108143791345882923e+00
-1.727584599999999915e+00,1.223053100000000004e+00,1.108143791345882923e+00
-1.727584599999999915e+00,8.747812000000000365e-01,1.108143791345882923e+00
-1.727507200000000021e+00,2.617701600000000184e+00,1.108117629065515697e+00
-1.704123800000000077e+00,2.671752800000000150e+00,1.100213713474508248e+00
-1.703088600000000064e+00,8.857650999999999719e-01,1.099863801424942666e+00
-1.702711800000000109e+00,2.445447600000000055e+00,1.099736437765479469e+00
-1.701888999999999985e+00,2.135035000000000127e-01,1.099458319880643353e+00
-1.701680499999999929e+00,8.588812999999999587e-01,1.099387843970351053e+00
-1.700455100000000108e+00,8.707435000000000036e-01,1.098973641665929257e+00
-1.699126600000000042e+00,8.166269000000000444e-01,1.098524590122413214e+00
-1.698573000000000111e+00,2.285026300000000177e+00,1.098337465595133899e+00
-1.697205400000000086e+00,8.560976999999999615e-01,1.097875197705850736e+00
-1.695740199999999920e+00,7.968593999999999955e-01,1.097379939654243852e+00
-1.695000199999999957e+00,8.791782999999999682e-01,1.097129809325149585e+00
-1.680539599999999911e+00,2.328502299999999803e+00,1.092241924680687148e+00
-1.676139299999999999e+00,7.632906000000000413e-01,1.090754561860262983e+00
-1.674864200000000025e+00,8.881618000000000013e-01,1.090323560262116631e+00
-1.673665500000000028e+00,7.927516000000000007e-01,1.089918382930379570e+00
-1.672015000000000029e+00,7.977473999999999954e-01,1.089360490892311795e+00
-1.662304500000000074e+00,5.706006000000000133e-01,1.086078206350864495e+00
-1.660325199999999946e+00,1.053089200000000059e+00,1.085409175323328590e+00
-1.655340599999999940e+00,1.034032199999999957e+00,1.083724310947107305e+00
-1.649667100000000053e+00,9.529505000000000337e-01,1.081806588755057419e+00
-1.648457199999999956e+00,8.303449999999999998e-01,1.081397625666987938e+00
