num_parents,true_split,found_split,score_diff,true_score_diff,per_intv,parent_intv,cc_ari,gmm_ari,gmm_ari_res,kmeans_ari,kmeans_ari_res,spectral_ari,spectral_ari_res
3,1,1,10184,11678,29.04,0,0.4494721190263972,0.0316284483049647,0.5158129406910551,0.0281404077723728,0.5714706370529505,0.1434399582203159,0.2345892715015433
4,1,1,2826,3629,21.44,0,0.8697878436254033,0.0511437254828156,0.4403842489772708,0.0523604359968672,0.3082060879907579,0.0052953101934512,0.0230596305346487
2,1,1,7341,7601,32.2,0,0.342439948926943,0.2085499615414415,0.6587330498675854,0.0582690785189878,0.6621149156479109,0.1008122036215534,0.0844786583263988
4,1,1,3963,3518,22.12,0,0.8253490711568958,-0.0092485747624931,0.585215976022386,0.0009870660723331,0.0220196395921751,-0.0099185107425534,0.0079548691122979
2,1,1,2197,2768,26.16,0,0.6050401972150298,0.0706733303817386,0.7908337322071439,0.2012533030258547,0.7747329628757925,0.1379200788830745,0.1021171283931915
2,1,1,1584,1403,22.24,0,0.8809245936951836,0.2518648860734931,0.4090194969772603,0.0466419685406736,0.0053708652309703,0.0652019194305644,-0.0002496110640018
2,1,1,4227,5224,35.88,0,0.1560257044389399,0.1601199482243194,0.2114239238577996,0.1478630714191606,0.2972201383116664,-0.0044874687188901,0.0258641843148578
4,1,0,-96,1813,41.959999999999994,0,0.0,-0.0806286508768389,0.0073422073489699,-0.0066192056511166,-0.0002668153517624,-0.0925460029480216,0.1737512840562133
2,1,1,6762,6591,47.4,0,0.0018204270917464,0.1042255301378569,0.2508505041327759,0.0086746258120981,0.2511070525728387,-0.0490732403349928,-0.0002893376991283
3,1,1,9158,9001,24.2,0,0.5834640131539931,0.1547826341360391,0.2952049420661714,0.0696289824245208,0.1368767490446234,-0.0055136770925288,-0.0044135381502812
2,1,1,11934,12219,21.44,0,0.8869198768553223,0.0925912767813513,0.2483565161321895,0.1014769045737171,0.0285864609287621,-0.0727621815314041,-0.0386723956810691
1,1,1,6084,6307,19.96,0,0.9580850238296263,0.112343443293572,0.5612156122147574,0.2791287658254629,0.6130200648390745,0.1757885469045866,0.1425455940409583
5,1,1,7061,8378,44.440000000000005,1,0.0003666709798238,0.2265915199863512,0.1180020876840199,0.5515407868352065,-0.0003484025494694,0.114725280636706,-0.0133633804134006
4,1,1,1043,2967,47.08,0,-0.0004077953612297,0.0009254243552047,0.3725495052908995,0.0182563428723275,0.389924519849742,0.0298236251581725,0.0045649240905935
2,1,1,10304,10242,22.92,0,0.7714924786489086,-0.0112399814818097,0.5846853884219813,-0.0239825369101709,0.7831259350143762,-0.0641725996893258,0.0998324343517887
2,1,1,8446,9351,20.64,0,0.945844641695116,0.1642879039488834,0.7418149557050348,0.3929066718827714,0.7497593020345048,0.3761209497953151,0.1107037263262639
2,1,1,5431,6600,24.0,0,0.6530733922460029,0.076544633329961,0.545195495231177,0.2065109698137904,0.5433462779364469,0.0235044303315341,0.0407869427659319
4,1,1,1996,4606,29.28,0,0.4361682360013136,-0.0005555194072317,0.5130963140027065,0.0001646739008822,0.5558540046130208,0.0004265159790835,0.0506443589693164
2,1,1,5584,6152,30.4,0,0.2545360728465917,-0.0035180517027477,0.4127067605063375,-0.0273003634541284,0.3907029766765857,-0.1038078815808333,-0.0881381140604339
2,1,1,14694,15230,24.92,0,0.6454788563728457,0.033745858769449,0.6359195508342779,0.3240696657932486,0.8195681271949669,0.1318689224166987,0.1103674197084908
2,1,1,1366,4798,23.76,0,0.1189614068789022,0.2408020574906857,0.09038751677923,0.0970718847476991,0.1434001272878054,-0.0301604806066949,-0.0107360502843551
1,1,1,5008,6457,27.6,0,0.5926927107367739,0.0886246916910826,0.4408582202664609,0.5461007918056948,0.8231032416292683,0.3723997103529308,0.1219789223351371
3,1,1,6346,7315,44.68,0,0.0660763190657939,0.0294463778967706,0.4852445196953292,0.0028443766802733,0.5776134417905882,-0.1031489111241907,0.0307054446390683
1,1,1,5887,5949,21.04,0,0.9318864889917878,-5.2936040174710234e-05,0.7075236897745296,-0.0002612867634563,0.0012031467577799,-0.0395995918061236,0.2631004358677015
1,1,1,9981,9985,20.200000000000003,0,0.9799043326624192,-0.001237528930721,0.7300822705678239,-0.0015529493769366,0.0151440556623223,0.0186737543398344,0.3021814688985864
1,1,1,13255,13721,20.48,0,0.952916461030308,0.0007229890695825,0.71884908369658,0.0003201220990334,0.0003993598360524,-0.0006121630157076,-0.000481861211961
5,1,1,2175,3027,28.52,0,0.48524468481105,-0.000153626103237,0.3574693128288241,0.0013899550737781,0.003533626966366,0.0001928528671019,0.0054090363096456
1,1,1,3556,3756,20.48,0,0.952916461030308,0.4272964859615832,0.2375053004255174,-0.0320573924116853,0.3941256560276009,0.0005200141227191,-0.0002637301445837
1,1,1,4131,4267,23.200000000000003,0,0.7960889641014107,0.0962335993474264,0.475515062522137,0.6152307760617043,0.8471509043082321,0.4253666457368792,0.1985924193803707
3,1,1,3458,5280,20.48,0,0.9386283153818972,-0.0023080100499437,0.7976691553713727,-0.000524872281939,0.0194150343143688,-0.0002996137414888,0.1940498507088145
1,1,1,7283,7279,20.32,0,0.9781120435341056,0.02926337948932,0.8342078437474374,0.4819417147040204,0.8286568115046726,0.4855759511810431,0.0916178401680957
2,1,1,9531,10486,26.56,0,0.5598364333987197,0.0822281563105197,0.5899741272277732,0.3915212898913733,0.7872301235062551,0.1662312734283882,0.1185344537815126
4,1,1,2693,3157,21.08,1,0.816982811992128,0.3304638970556492,0.2599633789265461,0.193627650102713,0.1131753799229895,0.3670211530176195,0.1447361635295787
