x,density
-1.688300941357129492e+00,1.185512696704161225e-08
-1.683419560604918264e+00,1.393215833777309625e-08
-1.678538179852707257e+00,1.635818412268487318e-08
-1.673656799100496251e+00,1.918920273236890159e-08
-1.668775418348285022e+00,2.248974755847244009e-08
-1.663894037596074016e+00,2.633411423839000422e-08
-1.659012656843863009e+00,3.080775290797432812e-08
-1.654131276091651781e+00,3.600884591948961655e-08
-1.649249895339440775e+00,4.205009380475831623e-08
-1.644368514587229768e+00,4.906073479365207690e-08
-1.639487133835018540e+00,5.718882597435568798e-08
-1.634605753082807533e+00,6.660381722383952393e-08
-1.629724372330596527e+00,7.749945236549683083e-08
-1.624842991578385298e+00,9.009703564770692794e-08
-1.619961610826174292e+00,1.046491056051925173e-07
-1.615080230073963286e+00,1.214435626883642323e-07
-1.610198849321752057e+00,1.408083017495099736e-07
-1.605317468569541051e+00,1.631164055847736297e-07
-1.600436087817330044e+00,1.887919612744876753e-07
-1.595554707065118816e+00,2.183165670695553542e-07
-1.590673326312907809e+00,2.522366040672361024e-07
-1.585791945560696803e+00,2.911713539355809945e-07
-1.580910564808485574e+00,3.358220515122356317e-07
-1.576029184056274568e+00,3.869819692516905834e-07
-1.571147803304063562e+00,4.455476392566431755e-07
-1.566266422551852333e+00,5.125313280360036622e-07
-1.561385041799641327e+00,5.890748892163641572e-07
-1.556503661047430320e+00,6.764651302276867290e-07
-1.551622280295219092e+00,7.761508405194107162e-07
-1.546740899543008085e+00,8.897616411719275894e-07
-1.541859518790797079e+00,1.019128828881767523e-06
-1.536978138038585850e+00,1.166308401246217062e-06
-1.532096757286374844e+00,1.333606465084932712e-06
-1.527215376534163838e+00,1.523607245238804457e-06
-1.522333995781952609e+00,1.739203927906334744e-06
-1.517452615029741603e+00,1.983632590139657740e-06
-1.512571234277530596e+00,2.260509485646167337e-06
-1.507689853525319368e+00,2.573871976547316718e-06
-1.502808472773108361e+00,2.928223421248144145e-06
-1.497927092020897355e+00,3.328582350082089688e-06
-1.493045711268686127e+00,3.780536282921743115e-06
-1.488164330516475120e+00,4.290300566492421722e-06
-1.483282949764264114e+00,4.864782633687708159e-06
-1.478401569012052885e+00,5.511652112757918334e-06
-1.473520188259841879e+00,6.239417240809360941e-06
-1.468638807507630872e+00,7.057508063594508608e-06
-1.463757426755419644e+00,7.976366932060597044e-06
-1.458876046003208637e+00,9.007546835523216812e-06
-1.453994665250997631e+00,1.016381814159761186e-05
-1.449113284498786403e+00,1.145928434409598459e-05
-1.444231903746575396e+00,1.290950745192777790e-05
-1.439350522994364390e+00,1.453164368454046842e-05
-1.434469142242153161e+00,1.634459017252913777e-05
-1.429587761489942155e+00,1.836914339562689840e-05
-1.424706380737731148e+00,2.062817012425982965e-05
-1.419824999985519920e+00,2.314679166506781237e-05
-1.414943619233309136e+00,2.595258224515407974e-05
-1.410062238481097907e+00,2.907578240414494645e-05
-1.405180857728886679e+00,3.254952829726848347e-05
-1.400299476976675894e+00,3.641009784642163752e-05
-1.395418096224464666e+00,4.069717470937184769e-05
-1.390536715472253437e+00,4.545413106962482131e-05
-1.385655334720042653e+00,5.072833028086971044e-05
-1.380773953967831424e+00,5.657145043000910510e-05
-1.375892573215620196e+00,6.303982991131872125e-05
-1.371011192463409412e+00,7.019483613104811901e-05
-1.366129811711198183e+00,7.810325848634339411e-05
-1.361248430958986955e+00,8.683772678452899847e-05
-1.356367050206776170e+00,9.647715628814307657e-05
-1.351485669454564942e+00,1.071072205873108444e-04
-1.346604288702353713e+00,1.188208535136810412e-04
-1.341722907950142929e+00,1.317187813189450230e-04
-1.336841527197931700e+00,1.459100863452908524e-04
-1.331960146445720694e+00,1.615128034148159795e-04
-1.327078765693509688e+00,1.786545501593850770e-04
-1.322197384941298459e+00,1.974731925011394436e-04
-1.317316004189087453e+00,2.181175464766087419e-04
-1.312434623436876446e+00,2.407481175734116656e-04
-1.307553242684665218e+00,2.655378787175734657e-04
-1.302671861932454211e+00,2.926730880109662666e-04
-1.297790481180243205e+00,3.223541472718689728e-04
-1.292909100428031977e+00,3.547965023765320804e-04
-1.288027719675820970e+00,3.902315863356758106e-04
-1.283146338923609964e+00,4.289078059663876149e-04
-1.278264958171398735e+00,4.710915729365147252e-04
-1.273383577419187729e+00,5.170683798650109507e-04
-1.268502196666976722e+00,5.671439220573585129e-04
-1.263620815914765494e+00,6.216452653396127917e-04
-1.258739435162554487e+00,6.809220603278348877e-04
-1.253858054410343481e+00,7.453478033308853648e-04
-1.248976673658132253e+00,8.153211439339236267e-04
-1.244095292905921246e+00,8.912672391470394685e-04
-1.239213912153710240e+00,9.736391538281611397e-04
-1.234332531401499011e+00,1.062919306901593391e-03
-1.229451150649288005e+00,1.159620962693177658e-03
-1.224569769897076998e+00,1.264289766490484836e-03
-1.219688389144865770e+00,1.377505323211057967e-03
-1.214807008392654764e+00,1.499882817824708687e-03
-1.209925627640443757e+00,1.632074675926461788e-03
-1.205044246888232529e+00,1.774772262596238138e-03
-1.200162866136021522e+00,1.928707617409393350e-03
-1.195281485383810516e+00,2.094655223180376478e-03
-1.190400104631599287e+00,2.273433805729140576e-03
-1.185518723879388281e+00,2.465908161659268599e-03
-1.180637343127177274e+00,2.672991010826982969e-03
-1.175755962374966046e+00,2.895644869863637019e-03
-1.170874581622755040e+00,3.134883942790927559e-03
-1.165993200870544033e+00,3.391776024440416263e-03
-1.161111820118332805e+00,3.667444412056079968e-03
-1.156230439366121798e+00,3.963069820124473161e-03
-1.151349058613910792e+00,4.279892293140258146e-03
-1.146467677861699563e+00,4.619213110679709806e-03
-1.141586297109488557e+00,4.982396678819846735e-03
-1.136704916357277551e+00,5.370872401609954987e-03
-1.131823535605066322e+00,5.786136525976303194e-03
-1.126942154852855316e+00,6.229753953120317246e-03
-1.122060774100644309e+00,6.703360009159554413e-03
-1.117179393348433081e+00,7.208662167457864645e-03
-1.112298012596222074e+00,7.747441714801336053e-03
-1.107416631844011068e+00,8.321555353298442162e-03
-1.102535251091799839e+00,8.932936729620040428e-03
-1.097653870339588833e+00,9.583597882948362984e-03
-1.092772489587377827e+00,1.027563060277492807e-02
-1.087891108835166598e+00,1.101120768747802445e-02
-1.083009728082955592e+00,1.179258409442014190e-02
-1.078128347330744585e+00,1.262209797214225611e-02
-1.073246966578533357e+00,1.350217156508205438e-02
-1.068365585826322572e+00,1.443531198113053200e-02
-1.063484205074111344e+00,1.542411181224314851e-02
-1.058602824321900115e+00,1.647124959825523038e-02
-1.053721443569689331e+00,1.757949012401285524e-02
-1.048840062817478103e+00,1.875168453991656742e-02
-1.043958682065266874e+00,1.999077029599283586e-02
-1.039077301313056090e+00,2.129977087965581953e-02
-1.034195920560844861e+00,2.268179534739678954e-02
-1.029314539808633633e+00,2.414003764074496364e-02
-1.024433159056422848e+00,2.567777567698389246e-02
-1.019551778304211620e+00,2.729837020527481686e-02
-1.014670397552000392e+00,2.900526341903618757e-02
-1.009789016799789607e+00,3.080197731566803807e-02
-1.004907636047578379e+00,3.269211179496805258e-02
-1.000026255295367150e+00,3.467934248788415164e-02
-9.951448745431562548e-01,3.676741830758448182e-02
-9.902634937909451374e-01,3.896015871518182516e-02
-9.853821130387341309e-01,4.126145069284963690e-02
-9.805007322865230135e-01,4.367524541750140293e-02
-9.756193515343118960e-01,4.620555462866582364e-02
-9.707379707821008896e-01,4.885644668469924651e-02
-9.658565900298897722e-01,5.163204230200729022e-02
-9.609752092776786547e-01,5.453650997253372407e-02
-9.560938285254676483e-01,5.757406105537572760e-02
-9.512124477732565309e-01,6.074894453905314157e-02
-9.463310670210454134e-01,6.406544147163986680e-02
-9.414496862688344070e-01,6.752785905670645461e-02
-9.365683055166232895e-01,7.114052441380558367e-02
-9.316869247644121721e-01,7.490777800304193601e-02
-9.268055440122011657e-01,7.883396671414860668e-02
-9.219241632599901592e-01,8.292343662139498028e-02
-9.170427825077789308e-01,8.718052540661651306e-02
-9.121614017555679244e-01,9.160955445366464334e-02
-9.072800210033569179e-01,9.621482061863052826e-02
-9.023986402511456895e-01,1.010005876813014070e-01
-8.975172594989346830e-01,1.059710774844669079e-01
-8.926358787467236766e-01,1.111304607688975571e-01
-8.877544979945124481e-01,1.164828477130600143e-01
-8.828731172423014417e-01,1.220322781879436130e-01
-8.779917364900904353e-01,1.277827117387182188e-01
-8.731103557378792068e-01,1.337380173063135169e-01
-8.682289749856682004e-01,1.399019627034636115e-01
-8.633475942334571940e-01,1.462782038612042423e-01
-8.584662134812459655e-01,1.528702738633110070e-01
-8.535848327290349591e-01,1.596815717877019536e-01
-8.487034519768239527e-01,1.667153513753586724e-01
-8.438220712246127242e-01,1.739747095488863027e-01
-8.389406904724017178e-01,1.814625748044026987e-01
-8.340593097201907113e-01,1.891816955020120816e-01
-8.291779289679794829e-01,1.971346280816763941e-01
-8.242965482157684765e-01,2.053237252328275475e-01
-8.194151674635574700e-01,2.137511240476004104e-01
-8.145337867113462416e-01,2.224187341889914959e-01
-8.096524059591352351e-01,2.313282261067005630e-01
-8.047710252069242287e-01,2.404810193347554914e-01
-7.998896444547130002e-01,2.498782709062910834e-01
-7.950082637025019938e-01,2.595208639220221158e-01
-7.901268829502909874e-01,2.694093963100958611e-01
-7.852455021980797589e-01,2.795441698158832033e-01
-7.803641214458687525e-01,2.899251792612148049e-01
-7.754827406936577461e-01,3.005521021131760673e-01
-7.706013599414465176e-01,3.114242884031717673e-01
-7.657199791892355112e-01,3.225407510373629605e-01
-7.608385984370245048e-01,3.339001565397383131e-01
-7.559572176848134983e-01,3.455008162691342033e-01
-7.510758369326022699e-01,3.573406781513546737e-01
-7.461944561803912634e-01,3.694173189671129953e-01
-7.413130754281802570e-01,3.817279372359818068e-01
-7.364316946759690286e-01,3.942693467356891968e-01
-7.315503139237580221e-01,4.070379706950763010e-01
-7.266689331715470157e-01,4.200298366978168496e-01
-7.217875524193357872e-01,4.332405723324401214e-01
-7.169061716671247808e-01,4.466654016226001001e-01
-7.120247909149137744e-01,4.602991422695164592e-01
-7.071434101627025459e-01,4.741362037364358906e-01
-7.022620294104915395e-01,4.881705862025870757e-01
-6.973806486582805331e-01,5.023958804115575827e-01
-6.924992679060693046e-01,5.168052684362688387e-01
-6.876178871538582982e-01,5.313915253798168203e-01
-6.827365064016472918e-01,5.461470220283641819e-01
-6.778551256494360633e-01,5.610637284689663495e-01
-6.729737448972250569e-01,5.761332186819687617e-01
-6.680923641450140504e-01,5.913466761139691830e-01
-6.632109833928028220e-01,6.066949002339043773e-01
-6.583296026405918155e-01,6.221683140710113635e-01
-6.534482218883808091e-01,6.377569727298837421e-01
-6.485668411361695807e-01,6.534505728739097297e-01
-6.436854603839585742e-01,6.692384631647770865e-01
-6.388040796317475678e-01,6.851096556419747907e-01
-6.339226988795363393e-01,7.010528380224338996e-01
-6.290413181273253329e-01,7.170563868969691557e-01
-6.241599373751143265e-01,7.331083817965837746e-01
-6.192785566229030980e-01,7.491966200982225210e-01
-6.143971758706920916e-01,7.653086327363930463e-01
-6.095157951184810852e-01,7.814317006838387147e-01
-6.046344143662698567e-01,7.975528721615263716e-01
-5.997530336140588503e-01,8.136589805354670357e-01
-5.948716528618478439e-01,8.297366628553470846e-01
-5.899902721096366154e-01,8.457723789875348785e-01
-5.851088913574256090e-01,8.617524312931171826e-01
-5.802275106052146025e-01,8.776629847996302303e-01
-5.753461298530035961e-01,8.934900878137084224e-01
-5.704647491007923676e-01,9.092196929205443867e-01
-5.655833683485813612e-01,9.248376783150348279e-01
-5.607019875963703548e-01,9.403298694088393361e-01
-5.558206068441591263e-01,9.556820606570052279e-01
-5.509392260919481199e-01,9.708800375478415789e-01
-5.460578453397371135e-01,9.859095986996482264e-01
-5.411764645875258850e-01,1.000756578008486830e+00
-5.362950838353148786e-01,1.015406866791672469e+00
-5.314137030831038722e-01,1.029846435872747934e+00
-5.265323223308926437e-01,1.044061357554702418e+00
-5.216509415786816373e-01,1.058037827429715527e+00
-5.167695608264706308e-01,1.071762185975237536e+00
-5.118881800742594024e-01,1.085220939888042135e+00
-5.070067993220483960e-01,1.098400783109807710e+00
-5.021254185698373895e-01,1.111288617500069353e+00
-4.972440378176261611e-01,1.123871573114433309e+00
-4.923626570654151546e-01,1.136137028048513686e+00
-4.874812763132041482e-01,1.148072627810448942e+00
-4.825998955609929197e-01,1.159666304187401131e+00
-4.777185148087819133e-01,1.170906293574026868e+00
-4.728371340565709069e-01,1.181781154733597683e+00
-4.679557533043596784e-01,1.192279785964964089e+00
-4.630743725521486720e-01,1.202391441651158521e+00
-4.581929917999376656e-01,1.212105748168128549e+00
-4.533116110477264371e-01,1.221412719134409075e+00
-4.484302302955154307e-01,1.230302769984970679e+00
-4.435488495433044243e-01,1.238766731854954006e+00
